# Many thanks to Feldon / u.eq2wire.com for compiling these shiny collections!
# This made all the work here much easier.
CollectionId,ItemIcon,CollectionMemberId,CollectionMemberName,CollectionName,CollectionCategory
92969607,3412,1030535233,Maroon Sand,Desert Sands,Renewal of Ro [scraped]
92969607,3409,1685825207,Black Sand,Desert Sands,Renewal of Ro [scraped]
92969607,3476,3011929490,White Sand,Desert Sands,Renewal of Ro [scraped]
92969607,3430,3581431354,Beige Sand,Desert Sands,Renewal of Ro [scraped]
92969607,3410,3601794056,Brown Sand,Desert Sands,Renewal of Ro [scraped]
4060045933,3951,355994318,Deadly Duststorms,Deadly Dangers,Renewal of Ro [scraped]
4060045933,3951,542836347,Dehydration,Deadly Dangers,Renewal of Ro [scraped]
4060045933,3951,2528944745,Crazed Madmen,Deadly Dangers,Renewal of Ro [scraped]
4060045933,3951,2627612900,Deceptive Mirages,Deadly Dangers,Renewal of Ro [scraped]
4060045933,3951,3595195975,Venomous Creatures,Deadly Dangers,Renewal of Ro [scraped]
3525272096,2817,1932725624,Blightswarm Claw,A Bug's Life,Renewal of Ro [scraped]
3525272096,158,2612296782,Shik'Nar Ichor,A Bug's Life,Renewal of Ro [scraped]
3525272096,1132,3216818436,Bug-Gnawed Luclinite,A Bug's Life,Renewal of Ro [scraped]
3525272096,110,3933638166,Broken Hatchling Wing,A Bug's Life,Renewal of Ro [scraped]
3525272096,144,4253956345,Fossilized Shik'Nar Egg,A Bug's Life,Renewal of Ro [scraped]
3461677993,1809,134425366,Ruby Sand Beetle,Sand Beetles,Renewal of Ro [scraped]
3461677993,1805,804354493,Black Sand Beetle,Sand Beetles,Renewal of Ro [scraped]
3461677993,1824,1820713178,Bronze Sand Beetle,Sand Beetles,Renewal of Ro [scraped]
3461677993,1823,1934880013,Sapphire Sand Beetle,Sand Beetles,Renewal of Ro [scraped]
3461677993,1821,3335063214,Emerald Sand Beetle,Sand Beetles,Renewal of Ro [scraped]
4037225577,3163,597512658,Nerive Reservoir Map,Water Maps,Renewal of Ro [scraped]
4037225577,3163,2053736131,Kalickia Falls Map,Water Maps,Renewal of Ro [scraped]
4037225577,3163,2315351966,Kulaidi Reservoir Map,Water Maps,Renewal of Ro [scraped]
